epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,493.777,1.0596,0.66671,0.00745,0.83924,0.68023,0.7704,0.50909,1.35127,1.20135,0.01228,0.002931,0.000977,0.002931,0.000977,0.002931,0.000977,0.002931,0.000977
33,508.554,1.0729,0.69887,0.00755,0.75601,0.71515,0.76662,0.50745,1.36813,1.19841,0.01225,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944,0.002832,0.000944
34,523.359,1.01003,0.63611,0.00671,0.76975,0.66863,0.76233,0.50918,1.34846,1.2384,0.01219,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
35,537.479,1.0485,0.72599,0.00723,0.83266,0.66345,0.77891,0.51732,1.33709,1.1744,0.0122,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878,0.002634,0.000878
36,551.746,0.99831,0.66746,0.00707,0.77975,0.67588,0.76373,0.50745,1.33165,1.27621,0.01198,0.002535,0.000845,0.002535,0.000845,0.002535,0.000845,0.002535,0.000845
37,565.789,1.00563,0.79896,0.00703,0.79271,0.67273,0.75079,0.50234,1.32724,1.34611,0.01189,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
38,580.267,0.98747,0.62217,0.00691,0.82473,0.65593,0.75403,0.49905,1.33075,1.33189,0.01204,0.002337,0.000779,0.002337,0.000779,0.002337,0.000779,0.002337,0.000779
39,594.467,0.98909,0.61458,0.00676,0.76502,0.67879,0.75089,0.5012,1.32633,1.34799,0.01213,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746,0.002238,0.000746
40,608.954,1.01097,0.62957,0.0069,0.76457,0.67902,0.75277,0.50676,1.34553,1.37129,0.01213,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
41,624.359,0.97887,0.59574,0.00623,0.78816,0.69697,0.74945,0.5019,1.34717,1.36876,0.01179,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068,0.00204,0.00068
42,639.035,1.03469,0.6873,0.00757,0.79531,0.70606,0.76847,0.51829,1.34606,1.29513,0.01203,0.001941,0.000647,0.001941,0.000647,0.001941,0.000647,0.001941,0.000647
43,653.075,0.9855,0.60507,0.00681,0.78606,0.71258,0.76704,0.51422,1.35875,1.27282,0.01209,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
44,667.533,0.98338,0.57125,0.00652,0.76659,0.70606,0.76113,0.50855,1.34881,1.31087,0.0121,0.001743,0.000581,0.001743,0.000581,0.001743,0.000581,0.001743,0.000581
45,681.665,0.97699,0.56448,0.00682,0.78171,0.68788,0.7542,0.50523,1.36785,1.29617,0.01251,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548,0.001644,0.000548
46,696.206,0.93921,0.54797,0.00656,0.76549,0.69394,0.75602,0.50942,1.3333,1.32485,0.01218,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
47,710.39,0.92066,0.5633,0.00589,0.74924,0.71528,0.76308,0.51968,1.32453,1.34291,0.01193,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482,0.001446,0.000482
48,725.462,0.96211,0.58725,0.00642,0.81065,0.67879,0.75461,0.51219,1.32477,1.37025,0.01203,0.001347,0.000449,0.001347,0.000449,0.001347,0.000449,0.001347,0.000449
49,740.01,0.93696,0.55174,0.00691,0.80422,0.68461,0.75777,0.5075,1.32486,1.37458,0.01188,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
50,754.517,0.96572,0.59727,0.00675,0.80082,0.7,0.74878,0.50196,1.34365,1.38293,0.01187,0.001149,0.000383,0.001149,0.000383,0.001149,0.000383,0.001149,0.000383
51,770.872,0.88071,0.43307,0.0067,0.84253,0.66476,0.76226,0.51068,1.33828,1.33693,0.01204,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035,0.00105,0.00035
52,785.277,0.8221,0.43481,0.00641,0.82336,0.67801,0.76943,0.50335,1.34763,1.31795,0.01207,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
53,799.41,0.87794,0.45607,0.00702,0.85146,0.66667,0.76919,0.51503,1.34899,1.31413,0.01209,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284,0.000852,0.000284
54,813.912,0.81586,0.40936,0.00617,0.86722,0.65316,0.76498,0.51638,1.33053,1.34251,0.01186,0.000753,0.000251,0.000753,0.000251,0.000753,0.000251,0.000753,0.000251
55,828.495,0.87594,0.45247,0.00676,0.81169,0.67922,0.76316,0.51555,1.31706,1.33009,0.0117,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
56,843.031,0.82028,0.3816,0.00684,0.82702,0.69697,0.76562,0.52237,1.31248,1.26812,0.01162,0.000555,0.000185,0.000555,0.000185,0.000555,0.000185,0.000555,0.000185
57,856.958,0.80319,0.3939,0.00607,0.83764,0.68791,0.77197,0.52753,1.31529,1.24816,0.01162,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152,0.000456,0.000152
58,871.23,0.79825,0.36977,0.00587,0.84813,0.6769,0.77188,0.52609,1.32003,1.24327,0.01166,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
59,885.25,0.85594,0.42205,0.00894,0.85587,0.67273,0.77247,0.52028,1.32955,1.24985,0.01166,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05,0.000258,8.6e-05
60,899.662,0.78892,0.37233,0.00592,0.83453,0.6697,0.77386,0.52322,1.32437,1.26027,0.01156,0.000159,5.3e-05,0.000159,5.3e-05,0.000159,5.3e-05,0.000159,5.3e-05
